Page,Yiddish (context),Rough English (context only),Question for experts,Expert answer,Notes
253,רודניק ביינם „סאַן",Rudnik by the 'San' — was world-famous for its factory,What was the factory called and what did it make? Was it near the San River?,,"All 3 OCR passes read 'San' — likely the San River"
253,קיש[?]-פֿאַבריק,world-famous Rudnik [kish?]-factory,Factory name unclear — brush factory? comb factory? what was the Rudnik factory famous for?,,
253,דער ניסקווּער רבין,the [Nisko?] Rabbi — one of two Hasidic rabbis in Rudnik,Was there a rabbi from Nisko (a nearby town) associated with Rudnik?,,"Nisko is a real town near Rudnik — geographically plausible"
253,פֿון דער באַרימטער סאַנדזשער,from the famous Sandz[er] dynasty,The text says both rabbis descended from R' Yechezkel Halberstam of Sanz — does that match family knowledge?,,"Halberstam of Sanz is well-documented; 'Sandzer' dynasty is correct"
253,אסתר קאַללער-דייך,"caption: Esther Kaller-Dayk","The author's name — family says it should be Koller-Reich not Koller-Dayk. All 3 OCR agents read 'דייך'. Can you confirm the correct surname?",,"User noted it may be Reich not Dayk — but OCR consistently reads Dayk"
253,מיין מאַמע האָט נעהאַט חתונה מיט איר פּעטער,my mother married her uncle (father's uncle),The text says mother married her uncle — do you know which uncle this was and why?,,"פּעטער = uncle; פּלימעניצע = niece; text says mother was father's niece"
253,נידראַלמשע שמעלקעס,a scholar named Nidralmeshe Shmelkes,Who was this person? A rabbi or community figure in Rudnik or Lemberg?,,Unclear proper name — both OCR passes agree on this spelling
253,לעמבּערגנר רב,the Lemberg Rabbi,Which rabbi of Lemberg is referred to here? The father studied under him.,,
253,שטיקעלע עוף[?],a little piece of poultry,The word before 'piece of' is uncertain — was the charity food given on Thursdays meat or poultry?,,User suggested עוף (poultry) is likely
254,לאָס אַנדזשעלעס (phonetic spelling),Los Angeles — the author's home when writing,"Confirms author lived in Hollywood/LA when writing — does family know which Esther Koller this was?",,"Matches 'Hollywood' noted in chapter header"
254,„שמשינע" סוּחרים,[shmshineh] merchants — a type of merchant in Rudnik,What were 'shmshineh' merchants? A specific trade or nickname?,,Word unclear — possibly a place name or trade specialty
254,דעם „דייִטשן" שניִידער / דעם חסידישן שניִידער,the 'German-style' tailor vs the Hasidic tailor — two contrasting characters in Rudnik,Do you know who these two tailors were? They were apparently famous characters in the town.,,Humorous anecdote — the two tailors as stock characters
255,43 יאָר,43 years since leaving Rudnik,The author says she left Rudnik 43 years ago. If she's writing in ~1950s-60s that places her departure ~1910s-20s. Does that match family timeline?,,Helps date the memoir
